Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
řttw	caesalpinoideae 2	wild syringa tree (genus Burkea)	Cooktown ironwood, ordeal tree (genus Erythrophleum)	brauna wood tree (genus Melanoxylum)												
řtty	caesalpinoideae 3	poinciana (genus Delonix)	palo verde, brea (genus Parkinsonia)	Brazilian firetree/Brazilian fern tree (genus Schizolobium)												
rtv	template-based formation/drawing/extrusion	forming/molding by means of a template/die	drawing/shaping by pulling through die	extrusion/shaping by pushing though die												
řtw	rubus plant 2	cloudberry plant (Rubus chamaemorus)	salmonberry plant (Rubus spectabilis)	thimbleberry plant (Rubus parviflorus)												
rţx	boletales 1	cep/penny bun/porcini mushroom, old man of the woods (genus Boletus)	red-capped scaber stalk, northern roughstem, birch bolete, Aspen bolete, slate bolete, manzanita bolete (genus Leccinum)	weeping/granulated bolete, Slippery Jack, woolly-capped suillus, Jersey cow mushroom/bovine bolete (genus Suillus)												
rţxw	boletales 2	shoro (genus Rhizopogon)	earthball fungus, hard-skinned puffball, prettymouth, dyer’s puffball (Sclerodermataceae)	other boletales fungus (other Boletales)												
řty	rubus plant hybrid 1	loganberry plant (Rubus loganobaccus)	boysenberry plant (Rubus ursinus × idaeus)	tayberry plant (Rubus fruticosus × idaeus)												
rv	temporary duration	moment/instant	“while”	portion of a day												
řv	consequence/outcome/result	consequence	result/product	result/outcome												
rvb	power system protection unit (e.g., fusebox / circuit breaker box)	power system protection unit	use of power system protection unit	being deprived of a functioning power system protection unit												
rw	short-term conventionalized time period	second	minute	hour												
řw	clarity/perspicuity/pellucidity/explicitness/precision/meticulousness	clarity/perspicuity/pellucidity	explicitness	precision/meticulousness												
rx	similarity/resemblance	similarity/resemblance to concrete entity	similarity/resemblance to oneself on another occasion	similarity/resemblance to abstract situation	° to which an entity meets an expectation of ~	expectation of ~	entity being appraised/compared to the expectation of similarity/resemblance to a concrete entity	entity being appraised/compared to the expectation of similarity/resemblance to oneself on another occasion	entity being appraised/compared to the expectation of similarity/resemblance to an abstract situation							
řx	physical pain	external tactile pain	interoceptive pain	muscular strain												
rxč	homicide in self-defense/assassination/execution	homicide in self-defense	assassination	legal execution												
řxm	gastro-intestinal paroxysm 2	feeling the need to vomit	feeling the need to fart	feeling a stomach/intestinal cramp						vomiting	farting					
rxn	mage/wizard⬌seeking the services of mage/wizard	mage/wizard⬌seeking the services of mage/wizard relationship	mage/wizard	seeking the services of mage/wizard												
řxr	can opener/bottle opener/citrus juicer	can opener	bottle opener	citrus juicer												
rxw	nullification/contradiction/contravention	nullification	contradiction	removal/contravention												
ry	freedom/self-determination/independence	free, not subject to another’s restriction/oversight	self-determined, determining oneself	independent, unaffiliated with another party												
řy	degree of capacity for emotion	degree of emotional/intellectual engagement or interest	degree of emotional engagement/involvement or devotion	degree of capacity for or depth of emotional engagement/involvement or interest												
rz	authority/obedience	enforceable authority and obedience thereto	mastery/parental authority and obedience thereto	enforceable governmental authority and obedience thereto												
rž	revenge/vengeance/vindictiveness	revenge/vengeance	retaliation	vindictiveness (desire for revenge)												
rẓ	chemical element	chemical element	positive ion of a chemical element	negative ion of a chemical element						chemical element	oxidized chemical element	reduced chemical element				
řz	disinterest/probity/honesty/sublimity/nobility/virtue	disinterest	probity/honesty	sublimity/nobility/virtue												
řž	fragaria plant (strawberry)	wild strawberry plant (Fragaria vesca, etc.)	strawberry plant cultivar	strawberry plant hybrid (Fragaria ananassa, etc.)												
řẓ	sound of a low hum/whir/rumble	sound of a low hum	sound of a whir	sound of a rumble												
rzb	senecioneae 1	ragwort, groundsel, squaw-weed, senecio, marsh fleabane, butterweed, dolphin necklace/flying dolphins/dolphin plant, wax ivy, Cape ivy/German ivy, string of bananas, string of pearls, old-man-in-the-spring (genus Senecio)	Indian plantain (genus Arnoglossum)	willow ragwort/willow groundsel (genus Barkleyanthus)												
ržb	astereae 1	🌼 daisy (genus Bellis)	lazydaisy (genus Aphanostephus)	western-daisy (genus Astranthium)												
rẓb	chemical compound/chemical reaction	chemical compound	chemical reaction	energy released from chemical reaction												
řzb	bombycoid moth 1	silk moth, emperor moth, sphinx moth, silkworm moth, Brahmin moth, true silkmoth/mulberry silkmoth (Bombycidae)	hook-tip moth, false owlet, gold moth, doid moth, drepanid moth (Drepanoidea)	eggar, snout moth, lappet moth, tent caterpillar moth (Lasiocampidae)												
rzbḑ	senecioneae 8	blanket leaf (genus Bedfordia)	leopard plant/green leopard plant (genus Farfugium)	other senecionid plant (other Senecioneae)												
rzbl	senecioneae 4	fireweed, burnweed (genus Erechtites)	purple passion (genus Gynura)	broomsage, scalebroom (genus Lepidospartum)												
ržbl	astereae 4	tansyaster (genera Machaeranthera, Psilactis, Rayjacksonia)	desert tansyaster (genus Leucosyris)	tall flat-topped aster (genus Doellingeria)												
řzbl	geometrid (geometer) moth	geometer, spinach, phoenix, barred straw, carpet, delicate, rivulet, seraphim, pug, oblique striped, mallow, chimney sweeeper, vestal, blood-vein, zachera, wave, lace border, scallop, mocha, maiden’s blush, emerald, diminutive, purple-barred yellow moth (Geometridae)	oriental swallowtail moth (Epicopeiidae)	sematurid moth, pseudobistonid moth (Sematuridae, Pseudobistonidae)												
rzbr	senecioneae 5	silverback (genus Luina)	butterbur, coltsfoot (genus Petasites)	indianbush (genus Psacalium)												
rzbř	senecioneae 6	groundsel (genus Roldana)	Rugel’s ragwort/Rugel’s Indian plantain (genus Rugelia)	butterweed (genus Sinosenecio)												
ržbr	astereae 5	sleepydaisy (genus Xanthisma)	sandaster (genus Corethrogyne)	woodyaster (genus Xylorhiza)												
ržbř	astereae 6	goldenrod (genus Solidago)	rayless-goldenrod (genus Bigelowia)	rock goldenrod (genus Cuniculotinus)												
řzbr	uraniid moth	urania, green page, tropical swallowtail, Laos brown butterfly, sunset moth, uraniine moth (Uraniinae)	scoopwing moth (Epipleminae)	auzeine moth, microniine moth (Auzeinae, Microniinae)												
rzbv	senecioneae 7	horsebrush (genus Tetradymia)	coltsfoot (genus Tussilago)	desert yellowhead (genus Yermo)												
ržbv	astereae 7	rock goldenrod (genus Petradoria)	desert goldenrod (genera Aquilula, Gundlachia, Medranoa previous classified in genera Xylothamia)	rayless mock goldenrod (genus Brintonia)												
rzbw	senecioneae 2	stickyseed (genus Blennosperma)	silvercrown (genus Cacaliopsis)	ragleaf, thickhead (genus Crassocephalum)												
ržbw	astereae 2	aster (genus Aster)	goldenaster (genus Bradburia)	white-topped aster (genus Sericocarpus)												
rẓbw	chemical compound by type of molecule bond	covalent compound	ionic compound	metallic compound												
řzbw	bombycoid moth 2	oakworm moth, regal moth, pine-devil moth, splendid royal moth, rosy maple moth, imperial moth, io moth, buck moth, emperor moth, moon moth, tussar moth, comet moth, Polyphemus moth, mopane moth, cecropia math, silkmoth, Hercules moth, Atlas moth (Saturniidae)	sphinx moth, hawk-moth (Sphingidae)	American silkworm moth, shag-carpet caterpillar moth (Apatelodidae)												
rzby	senecioneae 3	spring gold (genus Crocidium)	leopard's bane (genus Doronicum)	tasselflower (genus Emilia)												
ržby	astereae 3	doll's-daisy (genus Boltonia)	tropic daisy (genus Egletes)	pygmydaisy (genus Pentachaeta)												
řzby	bombycoid moth 3	bombycoid moth, dryandra moth (Eupterotidae, Phiditiidae, Endromidae, Carthaeidae)	brahmin moth, owl moth (Brahmaeidae)	anthelid moth, rose anthelid (Anthelidae)												
ržč	gnaphalieae 2	pearl, pearly everlasting (genus Anaphalis)	billy button/woollyhead (genus Craspedia)	drumstick/billy button (genus Pycnosorus)												
rẓč	excavation/dredging/mining	excavation/exhumation (to reshape or find something inside)	dredging (to improve passage or find something inside)	mining (to find something inside)												
ržd	astereae 8	alkali marsh aster (genus Almutaster)	climbing aster (genus Ampelaster)	China aster, annual aster (genus Callistephus)												
řžd	scrophulariaceae 1	figwort (genus Scrophularia)	mullein (genus Verbascum)	butterfly bush (genus Buddleja)												
rždl	astereae 11	goldentop, grass-leaved goldenrod (genus Euthamia)	goldenshrub (genus Gundlachia previous not classified in genus Xylothamia)	goldenweed (genus Pyrrocoma)												
řždl	scrophulariaceae 4	Cape fuchsia/Cape figwort (genus Phygelius)	other scrophulariaceous plant, other figwort-like plant (other Scrophulariaceae)	n/a												
rždr	astereae 12	Wasatch aster, horrid herrickia, King’s serpentweed/King’s aster, gray aster (genus Herrickia)	bog aster/bog nodding aster, whorled wood aster (genus Oclemena)	mountain aster/mountain wood aster/Applalachian heartleaf aster, slender aster, western showy aster, white-wood aster, thistleleaf aster/coyote-thistle aster, forked aster, southern prairie aster, thickstem aster, bigleaf aster/largeleaf aster, subalpine aster/arctic aster, bouquest aster/dwarf aster, southern swamp aster, rough wood aster/low rough aster, roughleaf aster, nettle-leaved Michaelmas-daisy, Siberian aster, purple wood aster/showy aster, pinewoods aster, creeping aster (genus Eurybia)												
rždř	astereae 13	goldenweed, mock goldenweed (genus Stenotus)	goldenweed, mock goldenweed (genus Nestotus)	false goldenweed (genus Oonopsis)												
řzdr	level/bubble inclinator/angle locator	level	bubble inclinator	angle locator												
rzdv	entorrhizomycota	talbotiomyces (genus Talbotiomyces)	juncorrhiza (genus Juncorrhiza)	entorrhiza (genus Entorrhiza)												
rždv	astereae 14	Peirson’s aster/Peirson’s mountaincrown, tundra aster/Anderson’s mountain crown, Plumas alpine aster (genus Oreostemma)	ankle-aster (genus Ionactis)	Pacific aster, meadow aster, western aster/intermountain aster, blue wood aster, serpentine aster, heath aster, alkali aster, smooth aster/glaucous aster, calico aster, aromatic aster, frost aster/hairy aster, sky-blue aster/azure aster, crooked-stem aster, purplestem aster/red-stemmed aster, silky aster, bushy aster/rice-button aster, New England aster, panicled aster/tall white aster (genus Symphyotrichum)												
rždw	astereae 9	yellow-tongue daisy, varable daisy, grassland daisy, rock daisy, tufted daisy, mountain daisy (genus Brachyscome)	burrdaisy (genus Calotis)	New Zealand aster, New Zealand daisy, cotton daisy, snow-daisy (genus Celmisia)												
řždw	scrophulariaceae 2	mudwort (genus Limosella)	twinspur (genus Diascia)	barometer bush, Texas ranger/silverleaf (genus Leucophyllum)												
rždy	astereae 10	yellow aster, yellow mock aster (genus Eastwoodia)	hoary-aster, hoary tansyaster (genus Dieteria)	elegant aster, Olympic Mountain aster, Siskiyou aster, Klickitat aster, Cascade aster, rayless aster, wayside aster (genus Eucephalus)												
řždy	scrophulariaceae 3	boobialla, bastard ironwood/popwood, native myrtle, sugarwood, myoporum (genus Myoporum)	emu bush, turkey bush, poverty bush (genus Eremophila)	wild olive, white alling (genus Bontia)												
řžf	bignoniaceae 1	crossvine (genus Bignonia previously not classified in genus Saritaea)	garlic vine (genus Adenocalymma)	cricket-vine, chica (genus Fridericia)												
řžfl	bignoniaceae 4	wonga vine, bower of beauty, Pandora’s vine, boat vine (genus Pandorea)	trumpetbush, Cape honeysuckle (genus Tecoma)	pink trumpet vine (genus Tecomanthe)												
řžfr	bignoniaceae 5	tree jasmine/Indian cork tree (genus Millingtonia)	midnight horror/broken bones/tree of Damocles/Indian caper/Indian trumpet flower (genus Oroxylum)	catalpa, catawba (genus Catalpa)												
řžfř	bignoniaceae 6	desert-willow (genus Chilopsis)	roble, pink manjack, trumpet tree, pink poui, white ipê (genus Tabebuia)	epay/ipe/poui (genus Handroanthus)												
řžfw	bignoniaceae 2	jacaranda tree, Brazilian caroba-tree, fern tree/black poui (genus Jacaranda)	Chilean glory-flower/Chilean glory creeper (genus Eccremocarpus)	glowvine (genus Bignonia previously classified in genus Saritaea)												
řžfy	bignoniaceae 3	trumpet creeper/trumpet vine (genus Campsis)	golden bouquet tree/wallaby wireless tree/yellow pagoda flower tree (genus Deplanchea)	Chinese trumpet flower (genus Incarvillea)												
rzg	chemical/burnt/acrid	chemical odor	burnt odor	acrid odor												
ržg	astereae 15	daisy-bush (genus Olearia)	Townsend daisy (genus Townsendia)	New Holland daisy (genus Vittadinia)												
rẓg	naso-pharyngeal cavity	sinus	tonsil	eustachian tube												
řžg	gesneriaceae 1	fieldia (genus Fieldia)	Chilean pitcher flower (genus Sarmienta)	pumpkin tree (genus Negria)												
ržgḑ	astereae 22	bristleweed (genus Hazardia)	wireweed (genus Rigiopappus)	broomweed (genus Amphiachyris)												
řžgḑ	orobanchaceae 5	bartsia, velvetbells (genus Bartsia)	eyebright (genus Euphrasia)	glandweed (genus Parentucellia)												
ržgl	astereae 18	goldenrush (genus Ericameria)	goldenshrub (genus Medranoa previous classified in genus Neonesomia)	jimmyweed, goldenweed (genus Isocoma)												
rẓgl	respiratory structure	trachea	bronchus	pulmonary alveolus												
řžgl	orobanchaceae 1	broomrape (genus Orobanche)	Indian paintbrush, prairie-fire (genus Castilleja)	desert-boomrape (genus Cistanche)												
řžgm	orobanchaceae 6	groundcone (genus Boschniakia)	bird's beak (genus Cordylanthus)	beech drops (genus Epifagus)												
řžgn	orobanchaceae 7	American chaffseed (genus Schwalbea)	other orobanchaceous plant (other Orobanchaceae)	n/a												
ržgr	astereae 19	benitoa (genus Benitoa)	Indian headdress/beaked tracyina (genus Tracyina)	chaffbush, eytelia (genus Amphipappus)												
ržgř	astereae 20	fleabane (genus Erigeron)	gum-plant, resin-weed (genus Grindelia)	goldenaster, telegraphweed, Mexican arnica, Zion golden aster, camphorweed, false golden aster, monarch golden golden aster (genus Heterotheca)												
rẓgr	throat	hyoid bone	thyroid cartilage	cricoid cartilage												
řžgr	orobanchaceae 2	cancer-root, squawroot (genus Conopholis)	false foxglove (genus Agalinis)	yellow false foxglove, oakleach, fernleaf false foxglove (genus Aureolaria)												
řžgř	orobanchaceae 3	owl’s-clover (genus Orthocarpus)	owel’s-clover, johnny-tuck/butter-and-eggs (genus Triphysaria)	witchweed (genus Striga)												
ržgv	astereae 21	rabbitbush (genus Chrysothamnus)	rabbitbush (genus Lorandersonia)	desertstar (genus Monoptilon)												
řžgv	orobanchaceae 4	cow wheat (genus Melampyrum)	toothwort (genus Lathraea)	rattle (genus Rhinanthus)												
ržgw	astereae 16	scratchdaisy (genus Croptilon)	leastdaisy (genus Chaetopappa)	golden aster (genus Chrysopsis)												
rẓgw	upper gastrointestinal tract	pharynx	epiglottis	esophagus												
řžgw	gesneriaceae 2	magic flowers, widow’s tears, Cupid’s bower, hot water plant (genus Achimenes)	flame violet (genus Episcia)	kohleria, tree gloxinia (genus Kohleria)												
ržgy	astereae 17	serpentweed (genus Tonestus)	alpine serpentweed (genus Toiyabea)	snakeweed, matchweed (genus Gutierrezia)												
rẓgy	linguistic structure of throat	larynx	vocal chord	glottis												
řžgy	gesneriaceae 3	Orpheus flower, resurrection plant (genus Haberlea)	other gesnerioid or cyrtandroid plant (other Gesneriaceae)	n/a												
ržh	rejection/ostracization/banishment/boycott/embargo	rejection	ostracization/banishment	boycott/embargo												
rẓh	scorzonerinae	salsify, goatsbeard, oyster plant, jack-go-to-bed-at-noon (genus Tragopogon)	black salsify/Spanish salsify/black oyster plant/serpent root/viper’s herb, viper’s grass, scorzonera (genus Scorzonera)	slender salsify/pasture goatsbeard (genus Geropogon)												
rẓhw	other scorzonerinae & warioniinae	other goatsbeard or salsify-like plant (other Scorzonerinae)	warionia (genus Warionia)	n/a												
rzl	right triangle	right triangle outline	right triangle	negative space of a right triangle												
rẓl	crepidinae 2	dandelion (genus Taraxacum)	creeping lettuce (genus Ixeris)	Japanese hawkweed, Oriental false hawkweed (genus Youngia)												
řzl	scalene triangle	scalene triangle outline	scalene triangle	negative space of a scalene triangle												
ržm	astereae 23	fleshy minuria (genus Kippistia)	gumhead, sticky selloa (genus Gymnosperma)	pamakani, tetramolopium (genus Tetramolopium)												
rẓm	hypochaeridinae 3	hawkbit (genus Leontodon)	scaly hawkbit (genus Hedypnois)	n/a												
řžm	cheloneae 1	turtlehead (genus Chelone)	blue eyed Mary, Chinese houses (genus Collinsia)	keckiella, beardtongue, penstemon (genus Keckiella)												
řžml	gratioleae 2	cliff conobea/cut-leaf conobea/much-cleft conobea/narrow-leaved paleseed/Obi-Wan conobea (genus Leucospora)	marshweed (genus Limnophila)	axilflower (genus Mecardonia)												
řžmr	gratioleae 3	licorice weed, sweet broom, scoparia-weed (genus Scoparia)	twintip, stemodia, bluerod, pagurda (genus Stemodia)	other gratiolid plant (other Gratioleae)												
řžmř	veroniceae 1	speedwell, germander speedwell, bird’s eye, gypsyweed, brooklime (genus Veronica previously not classified in genus Hebe)	Culver’s-root/Culver’s physic/Bowman’s root/black root, veronicastrum (genus Veronicastrum)	hebe, New Zealand lilac, bushy veronica, mountain-box, koromiko, showy-speedwell (genus Veronica previously classified in genus Hebe)												
ržmw	astereae 24	Idaho goldenweed (genus Triniteurybia)	horseweed (genus Laennecia)	lessingia (genus Lessingia)												
řžmw	cheloneae 2	beardtongue (genus Penstemon)	woodland beardtongue (genus Nothochelone)	other chelonid plant (other Cheloneae)												
ržmy	astereae 25	Korean starwort (genus Miyamayomena)	lagenophora, bottle-daisy (genus Lagenophora)	other aster-like or daisy-like plant (other Astereae)												
řžmy	gratioleae 1	hedge-hyssops (genus Gratiola)	waterhyssop (genus Bacopa)	goatweed, Tamaulipan tea (genus Capraria)												
rẓn	chondrillinae	rush skeletonweed, smallflower desert-chicory/Texas false dandelion (genus Chondrilla)	willemetia (genus Willemetia)	phitosia (genus Phitosia)												
rẓň	scolyminae	golden thistle/oyster thistle (genus Scolymus)	Cupid’s dart (genus Catananche)	tumble thistle, other scolymine plant (genus Gundelia, Hymenonema)												
řžň	lamiales 1	rainbow plant (genus Byblis)	lady’s purse/slipper flower/pocketbook flower/slipperwort (genera Calceolaria, Jovellana)	mazus, swamp musk, lancea (genera Dodartia, Lancea, Mazus, Puchiumazus)												
řẓň	trichopteran (caddisfly/sedge-fly/rail-fly)	net-spinning caddisfly, tube-making caddisfly, trumpet-net caddisfly, finger-net caddisfly (Annulipalpia)	portable case-maker caddisfly, snail-case caddisfly, stonecase caddisfly, tubecase caddisfly (Integripalpia)	spicipalpian, purse-case caddisfly/microcaddisfly (Spicipalpia)												
rẓňw	other campanulid	possumwood tree, paracryphiaceous plant (genera Paracryphia, Quintinia, Sphenostemon)	brunia, button bush, redlegs (Bruniaceae)	columelliaceous plant (genera Columellia, Desfontainia)												
řžňw	lamiales 2	dragontree, empress tree, princess tree, foxglove-tree (genus Paulownia)	juniperleaf/rustweed (genera Polypremum, Tetrachondra)	other lamiales plant (Carlemanniaceae, Plocospermataceae, Schlegeliaceae, Thomandersiaceae)												
řẓňw	siphonapteran (flea) 1	common flea/cat flea (Pulicidae)	pulicioid flea (Pulicoidea except Pulicidae)	jigger/chigoe flea, hectopsyllid flea (genera Tunga, Hectopsylla)												
řẓňy	siphonapteran (flea) 2	moorhen flea (Ceratophyllidae)	mountain beaver flea (Hystrichopsyllidae)	other flea (other Siphonaptera)												
řžp	lentibulariaceae	corkscrew plant (genus Genlisea)	butterwort (genus Pinguicula)	bladderwort (genus Utricularia)												
řžpç	verbenaceae 2	fiddlewood (genus Citharexylum)	beebrush, whitebrush/whitebush, lemon verbena, almond verbena, mintbush lippia (genus Aloysia)	golden dewdrop/pigeon berry/skyflower, espino (genus Duranta)												
řžpf	verbenaceae 1	verbena/vervain (genus Verbena previously not classified in genus Glandularia)	fogfruit/frogfruit (genus Phyla)	sandpaper vine/purple wreath/queen’s wreath (genus Petrea)												
řžph	verbenaceae 4	lippia, Mexican oregano/scented matgrass, licorice verbena, koseret (genus Lippia)	Bahamas berry/pineapple verbena/Moujean tea (genus Nashia)	other verbenaceous plant (other Verbenaceae)												
řžpl	pedaliaceae	sesame, benniseed (genus Sesamum)	devil’s claw/grapple plant/wood spider (genus Harpagophytum)	other pelaliaceous plant (Pedaliaceae except genera Sesamum, Harpagophytum)												
řžpļ	verbenaceae 3	lantana, shrubverbena, tickberry, buttonsage, calico bush (genus Lantana)	mock vervain, mock verbena (genus Verbena previously classified in genus Glandularia)	porterweed, velvetberry, rat tail, snakeweed, bastard vervain/Brazilian tea (genus Stachytarpheta)												
řžpr	phrymaceae	lopseed (genus Phryma)	mudmat (genus Glossostigma)	monkey-flower, musk flower, blood-drop-emlet (other Phrymaceae)												
řžpř	stilbaceae	forest elder/wild elder/forest nuxia (genus Nuxia)	shell-flower (genus Bowkeria)	other stilbaceous plant (Stilbaceae except genera Nuxia, Bowkeria)												
řžpw	linderniaceae	false pimpernel, moist bank pimpernel (genus Lindernia)	wishbone flower, bluewing, ola’a beauty (genus Torenia)	other linderniaceous flower plant (Linderniaceae except genera Lindernia, Torenia)												
řžpy	martyniaceae	cat’s claw/tiger’s claw (genus Martynia)	unicorn-plant, devil’s horn/devil’s claw, ram’s horn, doubleclaw (genus Proboscidea)	other martyniaceous plant, other unicorn plant (Martyniaceae except genera Martynia, Proboscidea)												
rzr	equilateral triangular prism	equilateral triangular prism	hollow equilateral triangular prism	equilateral triangular prism lattice												
rẓr	crepidinae 3	white lettuce, rattllesnakeroot (genus Nabalus)	other crepidine plant (other Crepidinae)	n/a												
rẓř	hypochaeridinae 1	cat’s ear, flatweed/false dandelion, chikku-chikku (genus Hypochaeris)	autumn hawbit (genus Scorzoneroides)	rattlesnake root (genus Prenanthes)												
řžř	derision/mockery/parody/satire	derision/mockery	parody/caricature	satire/lampooning												
rzţ	soak/diffusion/permeation/osmosis	soaking/sousing	diffusion/suffusion	osmosis						saturation	permeation					
ržt	anthemideae 1	chrysanthemum, mum, chrysanth (genus Chrysanthemum)	chamomile, dogfennel (genus Chamaemelum)	chamomile, dog-fennel, mayweed (genus Anthemis)												
rẓt	punishment/justice/sentence/penance	punishment	justice/sentence	penance												
ržtç	calenduleae 2	bitou bush/bietou/tick berry (genus Osteospermum previous classified in genus Chrysantemoides)	other calendulid plant (other Calenduleae)	n/a												
ržtf	calenduleae 1	marigold, ruddle (genus Calendula)	daisybush, African daisy, Cape marguerite, Stinking Roger (genus Osteospermum previous not classified in genus Chrysantemoides)	Cape marigold/Namaqualand daisy, Cape daisy/rain daisy, rain flower/white bietou (genus Dimorphotheca)												
ržth	gnaphalieae 3	sunray, pink paper daisy (genus Rhodanthe)	cassinia, dogwood/dolly bush, chinese scrub, cough bush/dead finish, bully bush/killmoke (genus Cassinia)	cottonwood/tauhinu, kerosene bush, rice flower/white dogwood/pill flower/sago bush, everlasting (genus Ozothamnus)												
ržthw	gnaphalieae 4	creeping cudweed, star cudweed/commond cudweed (genus Euchiton)	curry plant, everlasting, strawflower, Cape gold, helichrysum, gold-and-silver (genus Helichrysum)	other gnaphaliid plant (other Gnaphalieae)												
ržtl	anthemideae 4	water button/buttonweed (genus Cotula)	oxeye, sticky oxeye (genus Heteranthemis)	cotton lavender/lavender-cotton (genus Santolina)												
ržtļ	gnaphalieae 1	cudweed (genus Gnaphalium)	everlasting, featherweed, cudweed (genus Gamochaeta)	catsfoot, pussytoes, everlasting (genus Antennaria)												
rztr	protective glove/face mask	protective glove (e.g., baseball)	boxing glove	protective face mask												
ržtr	anthemideae 5	tansy, golden-buttons, dusty-miller/silver-lace, feverfew, pyrethrum, painted daisy/Persian insect-flower, costmary (genus Tanacetum)	burrweed (genus Soliva)	mayweed (genus Tripleurospermum)												
ržtř	anthemideae 6	tricolour chrysanthemum/tricolor daisy/annual chrysanthemum (genus Ismelia)	Moroccan daisy (genus Rhodanthemum)	other anthemid plant (other Anthemideae)												
ržtw	anthemideae 2	yarrow, milfoil/allheal/thousand-leaf/bloodwort/carpenter’s grass/cammock/nosebleed/green adder’s mouth/soldier’s woundwort/dog daisy/old-man’s pepper, sweet Nancy/English mace, sneezewort/sneezeweed (genus Achillea)	anacyclus, white buttons, pellitory, Spanish chamomile/Mount Atlas daisy (genus Anacyclus)	mugwort, wormwood, terragon, estragon, sagebrush, budsage (genus Artemisia)												
ržty	anthemideae 3	Montauk daisy/Nippon daisy (genus Nipponanthemum)	cottonweed plant (genus Otanthus)	ox-eye daisy/dog daisy, Shasta daisy, creeping daisy/mini marguerite, max chrysanthemum (genus Leucanthemum)												
rẓv	hypochaeridinae 2	goldenfleece (genus Urospermum)	oxtongue (genus Picris)	bristly ox-tongue (genus Helminthotheca)												
řzv	erebid moth 1	underwing moth, witch moth (Erebinae)	tiger, lichen, footman, wasp moth (Arctiinae)	fruit-piercing, fruit-sucking, piercing moth, cotton leaf worm moth (Calpinae, Scoliopteryginae)												
řžv	antirrhineae 1	dragon flower, snapdragon (genera Antirrhinum, Misopates, Mohavea, Sairocarpus)	trailing snapdragon (genus Asarina)	dog’s-mouth, Deep Canyon snapdragon (genus Pseudorontium)												
řzvl	noctuid (owlet) moth	owlet moth, cutworm moth, dart, clay, square-spot, Hebrew character, rustic moth (Noctuinae)	dagger, sycamore, marsh, slowpoke, Canadian giant, rusty shoulder knot moth, amphipyra, copper underwing, mouse moth, mountain forester, day flying moth, bagisara, marbled green, marbled gray, red groundling/pied groundling moth (Acontiinae, Acronictinae, Agaristinae, Amphipyrinae, Bagisarinae, Balsinae, Bryophilinae, Cobubathinae, Condicinae, Cropiinae, genus Alastria)	star-wort, woodworm moth, asteroid, merveille du jour, sallow, catabena, toadflax, brocade, figure of eight, armyworm moth, cabbage moth, arch, zebra caterpillar moth, glaucous shears, feathered ear, white-point, wainscot, bright-eye, double line, whitespeck, drab, Quaker, corn earworm moth, bollworm moth, pease blossum, yellowhorn, looper, burnished brass, pitcher plant, alpine beauty, silver Y, Bröther moth (Cuculliinae, Dilobinae, Dyopsinae, Eriopinae, Eucocytiinae, Eustrotiinae, Grotellinae, Heliothinae, Metoponiinae, Oncocnemidinae, Pantheinae, Plusiinae, Raphiinae, Stiriinae, genera Epilitha, Fabula, Lanatopyga, Lenisa, Neoligia, Orohadena, Orthomoia, Protapamea, Proxenus, Pseudluperina)												
řžvl	bignoniaceae 7	African tulip tree/fountain tree/Nandi flame (genus Spathodea)	sausage tree/cucumber tree (genus Kigelia)	tender wild jack/pajanelia (genus Pajanelia)												
řzvr	noctuoid (owlet) moth	prominent, puss moth, buff-tip, lobster, poplar kitten, California oakworm, beech caterpillar, oakleaf caterpillar, yellownecked caterpillar, walnut caterpillar (Notodontidae)	nolid, nola, hieroglyphic moth, green pea moth (Nolidae)	stub, Boisduval’s autumn, epicoma, black spot, long-tailed bombyx / Sparshall’s moth (Oenosandridae, Euteliidae)												
řžvr	bignoniaceae 8	monkey’s comb (genus Amphilophium previously classified in genus Pithecoctenium)	other trumpet creeper/vine/bush/tree (other Bignoniaceae)	n/a												
řzvw	erebid moth 2	litter moth (Herminiinae)	snout moth, bomolocha, hypena, hop looper/hop vine, lantana defoliator, cloverworm moth (Hypeninae)	tussock moth, gypsy moth (Lymantriinae)												
řžvw	antirrhineae 2	Eurasian toadflax (genus Linaria)	Canada toadflax, Texas toadflax, Apalachicola toadflax (genus Nuttallanthus)	ivy-leaved toadflax/coliseum ivy/mother of thousands/wandering sailor (genus Cymbalaria)												
řzvy	erebid moth 3	aganaine, tiger moth (Aganainae)	scolecocampine, algibelle, sigela, dead-wood borer moth (Scolecocampinae)	other erebid moth (Anobinae, Boletobiinae, Eulepidotinae, Hypenodinae, Hypocalinae, Pangraptinae, Rivulinae, Tinoliinae, Toxocampinae)												
řžvy	antirrhineae 3	cancerwort, fluellin (genus Kickxia)	angels trumpet/Mexican viper, climbing snapdragon/roving sailor (genus Maurandya)	other antirrhinine snapdragon or toadflax-like plant (other Antirrhineae)												
rzw	occupational authority/slavery/military authority	occupational authority	slavery	military authority												
rẓw	hyoseridinae	sow thistle, hare thistle, hare lettuce, milk thistle (genus Sonchus)	brighteyes, false sowthistle (genus Reichardia)	other hyoseridine plant (genera Hyoseris, Aposeris, Launaea)												
ržx	HVAC unit	HVAC unit	use of an HVAC unit	being deprived of a functioning HVAC unit												
