Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
bž	cetacean	🐋 baleen whale (Mysticeti)	toothed whale (Odontoceti)	🐬 dolphin/porpoise/narwhal (Delphinida)												
bẓ	depth	degree of depth	decrease in depth	increase in depth												
bzb	bashfulness/shyness/stagefright	bashfulness/timidity	shyness	stagefright												
bžb	absent-mindedness/distraction/scatter-brainedness	absent-mindedness	distractedness/preoccupation	scatter-brainedness												
bzd	chinchilla/viscacha/pacarana	chinchilla (genus Chinchilla)	viscacha (genera Lagidium, Lagostomus)	pacarana (genus Dinomys)												
bzdl	agouti/acouchi/paca	agouti (genus Dasyprocta)	acouchi (genus Myoprocta)	paca (genus Cuniculus)												
bzdr	guinea pig/cavy/capybara	guinea pig/cavy (genera Cavia, Galea, Microcavia)	Patagonian cavy/mara (genera Dolichotis, Pediolagus)	capybara, rock capy (genera Hydrochoerus, Kerodon)												
bzdř	octodontid	Andean rock rat (genus Aconaemys)	degu (genera Octodon, Octodontomys)	viscacha rat (genera Octomys, Pipanacoctomys, Tympanoctomys)												
bzdv	other basidiomycota	pucciniomycotine fungus/rust fungus (Pucciniomycotina)	ustilaginomycotine fungus/smut fungus (Ustilaginomycotina)	wallemia fungus (genus Wallemia)												
bzdw	echimyid	spiny rat, spiny tree-rat, punaré, armored rat, guiara (Echimyidae except Capromyinae and Myocastorinae)	hutia (Capromyinae)	nutria/coypu (genus Myocastor)												
bzdy	unusual South American rodent	tuco-tuco (genus Ctenomys)	chinchilla-rat (genera Abrocoma, Cuscomys)	coruro (genus Spalocopus)												
bzf	genus populus	poplar tree	cottonwood tree	aspen tree												
bzfl	salicaceae 3	flintwood/mountain cherry/brown birch/scolopia, mountain saffron/red pear (genus Scolopia)	sword-leaf (genus Casearia)	other salicaceous plant/tree (other Salicaceae)												
bzfm	violaceae	violet, pansy, heartsease (genus Viola)	porcupine shrub, mahoe, whitey-wood, tree violet (genus Melicytus)	other violaceous plant (Violaceae except genera Viola, Melicytus)												
bzfn	achariaceae	chaulmoogra (genus Hydnocarpus)	keluak/keluwak/kepayang/payang (genus Pangium)	wild peach (genus Kiggelaria)												
bzfň	other achariaceae & humiriaceae	pau de Lepra (genus Carpotroche)	other achariaceous plant/tree (other Achariaceae)	humiriaceous plant (Humiriaceae)												
bzfr	passifloraceae 1	passion flower, passion vine, grenadilla, passionfruit, maypop, water lemon/Jamaican honeysuckle, sweet calabash, bell apple, tumbo, goatsfoot (genus Passiflora)	monkey rope/snake climber/wild granadilla, hondala, adenia (genus Adenia)	damiana, white buttercup  sulphur alder/politician’s flower/dark-eyed turnera/white alder, turnera, ramgoat dashalong/yellow alder (genus Turnera)												
bzfř	passifloraceae 2	ant tree (genus Barteria)	other passifloraceous plant/tree (other Passifloraceae)	n/a												
bzfw	salicaceae 1	willow tree, osier, sallow (genus Salix)	brushholly, logwood, xylosma (genus Xylosma)	snuff-box tree/fried egg tree/fried-egg flower (genus Oncoba)												
bzfy	salicaceae 2	azara (genus Azara)	kei apple/kai apple/kau apple (genus Dovyalis)	Batoko plum, Indian coffee plum, rukam (genus Flacourtia)												
bzg	melancholy/gloominess/depression	melancholy/malaise	gloominess/discontent	depression/unhappiness												
bžg	prostitution/pimping	prostitution	requesting sex from prostitute	pimping												
bzgḑ	metarhodophytina (red algae)	compsopogonophyceous alga/seaweed (Compsopogonophyceae)	stylonemataceous alga/seaweed (Stylonemataceae)	rufusia alga (genus Rufusia)												
bzgl	phyllophoracea (red algae)	carragheen/false Irish moss, Turkish washcloth/black tar spot/grapestone (genus Mastocarpus)	leaf bearer (genus Phyllophora)	phyllophoraceous alga/seaweed (other Phyllophoraceae)												
bzgm	rhodymeniophycidae (red algae)	banded siphon weed, lobster horns (genus Polysiphonia)	ogo/ogonori/sea moss (genus Gracilaria)	umutgasari, tengusa, makusa, genso  (genus Gelidium)												
bzgn	florideophycea (red algae)	coralline alga (Corallinophycidae)	rhodymeniophycid alga/seaweed (other Rhodymeniophycidae)	other florideophyceous alga (Hildenbrandiophycidae, Ahnfeltiophycidae)												
bzgr	solieriaceae (red algae)	guso (genus Euchuma)	tosaka-nori (genus Meristotheca)	elkhorn sea moss (genus Kappaphycus)												
bzgř	gigarinales (red algae)	carola seaweed (genus Callophyllis)	sea belt, poor man’s weather glass (genus Dilsea)	gigartinales seaweed (other Gigartinales)												
bzgv	unicellular red alga	cyanidiales alga (Cyanidiales)	rhodellales alga (Rhodellales)	porphyridiales alga (Porphyridiophyceae)												
bzgw	metarhodophytina (red algae)	dillisk/dilsk/red dulse/sea lettuce flakes (genus Palmaria)	black brush/black beard algae (genus Audouinella)	nemaliophycid alga/seaweed (other Nemaliophycidae)												
bzgy	gigartinacea (red algae)	Irish moss (genus Chondrus)	Turkish towel seaweed (genus Chondracanthus)	gigartinaceous alga/seaweed (other Gigartinaceae)												
bzgz	bangiaciae (red algae)	nori/purple laver seaweed (genus Porphyra)	southern laver, gim/nori, karengo (genus Pyropia)	bangiacieous alga/seaweed (other Bangiaceae)												
bzk	dormouse	dormouse (genera Glirulus, Glis)	African dormouse (genus Graphiurus)	Asian dormouse (genera Chaetocauda, Dryomys, Eliomys, Muscardinus, Myomimus, Selevinia)												
bzkç	unusual rodent	mouse-like hamster (genus Calmyscus)	springhare (genus Pedetes)	dassie rat (genus Petromus)												
bzkf	spalacid	zokor (genera Myospalax, Eospalax)	bamboo rat/root rat, African mole-rat (genera Rhizomys, Cannomys, Tachyoryctes)	blind mole-rat (genus Spalax, Nannospalax)												
bzkh	anomalurine scaly-tailed flying squirrel	scaly-tailed flying squirrel (genus Anomalurus)	long-eared flying mouse, pygmy scaly-tailed flying squirrel (genus Idiurus)	Cameroon scaly-tailed flying squirrel (genus Zenkerella)												
bzkhw	niche African rodent	gundi (genera Ctenodactylus, Felovia, Massoutiera, Pectinator)	cane rat (genus Thryonomys)	blesmol/mole-rat (genera Georychus, Cryptomys, Fukomys, Heliophobius, Bathyergus, Heterocephalus)												
bzkl	heteromyid	spiny pocket mouse (genus Heteromys)	kangaroo rat, kangaroo mouse (genera Dipodomys, Microdipodops)	pocket mouse (genera Perognathus, Chaetodipus)												
bzkr	dipodid	birch mouse (genus Sicista)	jumping mouse (genera Eozapus, Napaeozapus, Zapus)	jerboa (Dipodidae)												
bzkř	platacanthomyid	spiny dormouse (genus Platacanthomys)	Chinese pygmy dormouse (genus Typhlomys)	n/a												
bzkţ	gerbil/jirds/tateril	gerbil, pygmy gerbil (genera Dipodillus, Pachyuromys, Desmodilliscus, Ammodillus, Gerbillus, Microdillus, Desmodillus, Gerbilliscus, Gerbillurus, Tatera)	jird, sand rat (genera Brachionis, Meriones, Psammomys, Rhombomys, Sekeetamys)	tateril (genus Taterillus)												
bzkw	porcupine	Old World porcupine (genera Hystrix, Atherurus, Trychis)	North American porcupine (genus Erethizon)	South American prehensile-tailed porcupine, Brazilian bristle-spined porcupine (genera Coendou, Chaetomys)												
bzky	gopher	western/Mexican pocket gopher (genera Cratogeomys, Pappogeomys, Thomomys, Zygogeomys)	eastern pocket gopher (genus Geomys)	giant pocket gopher, taltuza (genera Orthogeomys, Heterogeomys)												
